"title";"body";"rating";"review_date";"source";"curated";"reviewer_name";"reviewer_email";"product_id"
"Tolles Gerät!";"Der CX 5.1 ist ein klasse Gerät. Die Bewegung ist wie beim Laufen. Der Preis ist unschlagbar günstig für diese Qualität. Nur die Lieferung hat leider gedauert, weil er ausverkauft war.";"5";"2017-12-21 00:00:00";"";"";"Martin Bertsch";"anonym@gsg.com";"8150186393816"
"Gefällt mir";"Der Crosstrainer hat einen langen Schritt. Das ist sehr gut, weil ich gerne schnell laufe. Preis und Leistung sind gut. Spedition war auch gut.";"5";"2017-11-14 00:00:00";"";"";"Robert Makacz";"anonym@gsg.com";"8155033731288"
"Prima verarbeitet, leicht im handling.";"Um meine Rückenproblemen etwas vorzubeugen, habe ich nach einem robusten Rückentrainer für den täglichen Gebrauch gesucht, daher habe ich diesen Trainer gekauft. Die Lieferung erfolgte gewohnt schnell. Das Gerät war mit Standardwerkzeug (Maulschlüssel und Ratsche) schnell aufgebaut. Das Gerät ist einwandfrei verarbeitet und sauber lackiert. Wackelt nicht, steht fest. ich bin 1,90m und ich benötige noch nicht die maximale Höheneinstellung, also sollte das Gerät auch für größere Personen geeignet sein.";"5";"2017-12-18 00:00:00";"";"";"Mustermann";"anonym@gsg.com";"8155773599960"
"Habe das Rudern als Ganzkörpertraining für mich entdeckt";"Seit über 10 Jahren sitze ich fast den ganzen Tag im Büro und das rächste sich irgendwann durch Rückenbeschwerden. Die Körperhaltung hat natürlich auch gelitten und die stützende Muskulatur war untrainiert. Abhilfe sollte eigentlich ein Crosstrainer, der als Ganzkörpertrainingsgerät sehr gut geeignet ist, schaffen. Aus mangelnder Deckenhöhe im Kellerraum konnte ich jedoch keinen Crosstrainer einsetzen. Jemand hat mir das Rudertraining für meine Haltungsprobleme nahegelegt und so habe ich ein Rudergerät 8.1 als Alternative zum Crosstrainer angeschafft. 

Mittlerweile trainiere ich drei bis vier Mal pro Woche auf dem Ruderergometer und schaffe trotz mangelnder Ausdauer locker eine Stunde durchzuhalten. Schon nach zwei Wochen bemerkte ich, dass sich meine Körperhaltung zum Besseren verändert hatte. Es war plötzlich einfacher und natürlicher, aufrechter zu gehen. Das Rudertraining hat den Muskelaufbau im Rücken und am Bauch angeregt. Beim Rudern spürt man schnell, welche Muskeln gefordert werden. Man benötigt nicht einmal viel Widerstand. Eine flüssige Ruderbewegung bei 22-23 Schlägen pro Minute ist für mich als noch relativ Untrainierten ideal, um pro Trainingstag eine Stunde durchzuhalten. Mein Puls ist dabei im Bereich von etwa 110 Schlägen pro Minute. Also alles sehr entspannt. 

Damit die Zeit auf dem Ruderergometer nicht zu lange wird, schaue ich dabei Serien. Und die Serien schaue ich auch nur im Trainingsraum, denn ich freue mich immer, wenn ich weiterschauen kann und mache dabei Sport. Die Familie habe ich mit dem Rudern auch schon agesteckt. Ich freue mich sehr, dass der ursprünglich ausgesuchte Crosstrainer nicht in den Keller passte. 

Der Ruderergometer 8.1 ist leise und bietet alles, was ich zuhause zum Rudern brauche. Klappen kann man das Gerät sehr leicht. Stabil ist der 8.1 auch. Eine gute Anschaffung.";"5";"2018-01-08 00:00:00";"";"";"Manuel Scheppach";"anonym@gsg.com";"8143823143128"
"Ein ideales Ergometer für den Heimbereich.";"Von der Bestellung bis zur Lieferung hat alles geklappt.

Der Aufbau war einfach.
Einen kleines Missverständniss in der Montageanleitung mit dem gelieferten Montagezzbehör War jedoch zu verzeichnen:
""Der mitgelieferte Inbusschlüssel passte zum Teil nicht in die Schraubenköpfe. Diese waren für den Schlüssel zu groß. Auch die Schraubenbezeichnung für die Montage des Computers hat mit der Beschreibung nicht gestimmt. ""

Die mitgelieferte Rückenlehne stimmte auch nicht mit der Abbildung überein. Vermutlich ist die Produktionsbedingt.

Ansonsten war der Aufbau sehr einfach.

Für die kleinen Abweichungen gibt es daher nur 4 Sterne.

Jedoch in der Altagstaugluchkeit ist diese Recumbent Ergometer im Preis- Leistungsverhältnis unschlagbar gut.";"5";"2018-03-12 00:00:00";"";"";"Andreas Engmann";"anonym@gsg.com";"8155597766872"
"Super zum schnellen Laufen";"Das TX 8.1 ist sehr groß und schwer und eignet sich gut für das lange und schnelle Laufen. Der Aufbau war einfach und die Bedienungsanleitung ist gut. Top Preis!";"5";"2017-10-17 00:00:00";"";"";"Olaf";"anonym@gsg.com";"8155610808536"
"Nettes Gerät";"Die Lieferung klappte innerhalb weniger Tage, also perfekt! Der Aufbau war überraschend einfach. Zu Zweit schafft man das locker in 30 Minuten. Die Nutzung ist ganz einfach und macht Spass. Selbst nach den ersten Tagen der Nutzung fühlen wir uns angenehm leicht und entspannt.";"5";"2018-02-14 00:00:00";"";"";"An";"anonym@gsg.com";"8155773534424"
"spitzen massage";"massiert super und tut dem rücken gut.besser als billigsessel.nicht billig aber echt gut.";"5";"2018-03-13 00:00:00";"";"";"Nicola";"anonym@gsg.com";"8155779793112"
"Voller Überzeugung - volle Punktzahl";"Ich habe als ernsthaft trainierender Athlet eine schwere Ausführung einer Beinpresse für zu Hause gesucht, um eine alternative zu Kniebeugen zu haben.
Das Gerät überzeugt mich von A bis Z
Topp verarbeitete schwere Stahlkunstruktion die das Training so ermöglichen wie es sein soll. Kein Unterschied zu einem Gerät im Fitnesscenter. 

Der Aufbau hat ca. 2 Stunden gedauert und man braucht eine 2. Person dazu.
Die meisten Schrauben sind schon vormontiert und müssen nur noch festgeschraubt werden nach vorherigem zusammenfügen. 

Die Lieferung erfolgte 3 Tage nach Bezahlung kostenlos per Spedition auf Palette bis zur Haustür.";"5";"2017-11-07 00:00:00";"";"";"Christian Rack";"anonym@gsg.com";"8155773501656"
"Top";"Tolle Verarbeitung
Super Preis-Leistugsverhältnis";"5";"2017-08-17 00:00:00";"";"";"Sergej Mai";"anonym@gsg.com";"8162338963672"
